Surname,Awards,Education,Dblp
Engelhardt,2,"Engelhardt received a Bachelor of Science in Symbolic Systems and a Master of Science in Computer Science from Stanford University. She received a PhD in 2008 from the University of California, Berkeley supervised by Michael I. Jordan.[3]",61
Eppstein,0,Education information not found,678
Ershov,0,Education information not found,0
Estridge,0,Education information not found,0
Etzioni,6,"Etzioni is the son of Israeli-American intellectual Amitai Etzioni.[6] He was the first student to major in computer science at Harvard University, where he earned a bachelor's degree in 1986. He earned a PhD from Carnegie Mellon University in January, 1991, supervised by Tom M. Mitchell.[7]",187
Evans,0,Education information not found,0
Evans,1,Education information not found,0
Even,0,Education information not found,103
Fahlman,0,Education information not found,0
Feigenbaum,9,"Feigenbaum was born in Weehawken, New Jersey in 1936 to a culturally Jewish family, and moved to nearby North Bergen, where he lived until the age of 16, when he left to start college.[9][10] His hometown did not have a secondary school of its own, and so he chose Weehawken High School for its college preparatory program.[10][11] He was inducted into his high school's hall of fame in 1996.[12] Feigenbaum completed his undergraduate degree (1956), and a Ph.D. (1960),[2][13][14] at Carnegie Institute of Technology (now Carnegie Mellon University). In his PhD thesis, carried out under the supervision of Herbert A. Simon, he developed EPAM, one of the first computer models of how people learn.[15]",0
Felten,2,Education information not found,0
Finin,1,Finin earned an undergraduate degree in Electrical Engineering from MIT in 1971 and a PhD in Computer Science from the University of Illinois at Urbana–Champaign in 1980.,357
Finkel,0,Education information not found,0
Firesmith,3,Education information not found,60
Flake,0,Education information not found,30
Flowers,0,Education information not found,0
Floyd,0,Education information not found,2
Floyd,2,Education information not found,83
Fogel,2,Education information not found,20
Foley,6,"Foley was born in Pennsylvania. He attended Lehigh University in Bethlehem, Pennsylvania, where he graduated with a bachelor's degree in electrical engineering in 1964. Foley was initiated into the Phi Beta Kappa Society and Tau Beta Pi while at Lehigh. He received his Ph.D. in computer, information, and control engineering from the University of Michigan in 1969.[5]",109
Forbus,0,"Forbus earned a Bachelor of Science in computer science, Master of Science in computer science, and PhD in artificial intelligence from the Massachusetts Institute of Technology.[2]",0
Jr.,0,Education information not found,0
Fortnow,4,Education information not found,235
Fayed,0,Education information not found,3
Fowler,0,Education information not found,42
France,6,Education information not found,0
Franke,9,Education information not found,35
Fredkin,1,"Fredkin's mother and father were both Russian immigrants who met in Los Angeles, and he was the youngest child of four. His mother was a concert pianist, although she did not perform professionally. She died from cancer when he was 11. His father was a businessperson but had lost everything in the 1929 stock market crash and as a result, the family was relatively poor. At times he lived with other families or with his older sister. Eventually, his father remarried, and he and his sister moved back in. As a child, he was both entrepreneurial and interested in science and how things work. He did various weekend and after-school things to earn money, eventually handling a large newspaper delivery route. At age 10 he bought chemistry supplies and made his own fireworks, which were then illegal in Los Angeles. He did poorly in school because he didn't do homework. He graduated from John Marshall High School a semester early so that he could earn money for Caltech tuition and living expenses. Caltech later told him he had been admitted with the worst high school grades they had ever seen. He quit Caltech partway through his sophomore year.[4] In 1952, he joined the United States Air Force (USAF) to become a fighter pilot avoid being drafted into the Korean War.[5] His computer career started in 1956 when the Air Force assigned him to MIT Lincoln Laboratory where he worked on the SAGE computer.[6]",8
Freund,0,Education information not found,113
Friedman,0,Education information not found,79
Fischer,0,"She obtained both a B.A. degree, with honors, in Mathematics and Chemistry and an M.A. degree in Applied Mathematics from the University of British Columbia in 1952 and 1954, respectively. She then obtained her Ph.D. in Applied Mathematics and Computing at Cambridge University in 1957, pursuing coursework in quantum theory with Paul Dirac. She worked under the supervision of Douglas Hartree, whom she assisted in programming the Electronic Delay Storage Automatic Calculator (EDSAC) for atomic-structure calculations. She served on the mathematics faculty of the University of British Columbia from 1957 till 1968, where she introduced numerical analysis and computer courses into the curriculum and was instrumental in the formation of the Computer Science Department. Froese Fischer spent 1963-64 at the Harvard College Observatory, where she extended her research on atomic-structure calculations. While at Harvard, she was the first woman scientist to be awarded an Alfred P. Sloan Fellowship. In 1991 she became a Fellow of the American Physical Society, in part for her contribution to the discovery of negative calcium. In 1995 she was elected a member of the Royal Physiographic Society in Lund, in 2004 a foreign member of the Lithuanian Academy of Sciences, and in 2015 she was awarded an Honorary Doctorate in Technology from Malmö University, Sweden.",19
Fu,3,"Ping Fu was born in 1958 in Nanjing, China,[6][7] where her father was a professor at the Nanjing University of Aeronautics and Astronautics (NUAA).[8] Fu spent her childhood and early adulthood in China. She grew up during the Cultural Revolution, during which she was separated from both her parents for several years.[9][10] After the end of the Cultural Revolution, she attended the college that later became the Suzhou University[7][11] studying Chinese literature.[12] Fu has related in interviews and in her memoir that she chose to research China's one-child policy for her thesis and traveled to the countryside, where she found that infanticide of female infants was common, as was abortion, even late into pregnancy.[13][14]  Fu said that, after turning in her research, she believes it was passed to a newspaper editor who wrote an editorial on the infanticide of female children.[11][15][better source needed] Fu has stated that she was later briefly imprisoned by government officials and was told to leave the country.[16][17] After this event, she left school, without graduating.[18] Fu left China and arrived in the United States in January 1984.[10] She initially enrolled at the University of New Mexico (UNM) in Albuquerque[15] but later moved to San Diego to study computer science as an undergraduate at the University of California, San Diego.[7] During her time in San Diego, Fu worked part-time at a software company called Resource Systems Group as a programmer and database software consultant.[19] Following her graduation from UC San Diego with a bachelor's degree in computer science, she moved to Illinois, where she took a job with Bell Labs.[7] The company offered a Ph.D assistance program, through which Fu enrolled in the computer science Ph.D program at the University of Illinois at Urbana-Champaign (UIUC). At UIUC she completed a master's degree in computer science.[20][21]",76
Fu,6,Education information not found,295
Fukushima,1,"In 1958, Fukushima received his Bachelor of Engineering in electronics from Kyoto University.[1] He became a senior research scientist at the NHK Science & Technology Research Laboratories. In 1989, he joined the faculty of Osaka University.[1] In 1999, he joined the faculty of the University of Electro-Communications. In 2001, he joined the faculty of Tokyo University of Technology. From 2006 to 2010, he was a visiting professor at Kansai University.[1] Fukushima acted as founding president of the Japanese Neural Network Society (JNNS). He also was a founding member on the board of governors of the International Neural Network Society (INNS), and president of the Asia-Pacific Neural Network Assembly (APNNA).[1]
He was one of the board of governors of the International Neural Network Society (INNIS) in 2003.",88
Fulkerson,0,"D. R. Fulkerson was born in Tamms, Illinois, the third of six children of Elbert and Emma Fulkerson. Fulkerson became an undergraduate at Southern Illinois University. His academic career was interrupted by military service during World War II. Having returned to complete his degree after the war, he went on to do a Ph.D. in mathematics at the University of Wisconsin–Madison under the supervision of Cyrus MacDuffee, who was a student of L. E. Dickson. Fulkerson received his Ph.D. in 1951.[2]",0
Gabriel,0,Education information not found,81
Galil,2,"Zvi Galil was born in Tel Aviv in Mandatory Palestine in 1947. He completed both his B.Sc. (1970) and his M.Sc. (1971) in applied mathematics, both summa cum laude, at Tel Aviv University before earning his Ph.D. in computer science at Cornell University in 1975 under the supervision of John Hopcroft.[1] He then spent a year working as a post-doctorate researcher at IBM's Thomas J. Watson Research Center in Yorktown Heights, New York.[8]",199
Galler,0,"Galler attended the University of Chicago where he earned a BSc in mathematics at the University of Chicago (1947), followed by a MSc from UCLA and a PhD from the University of Chicago (1955), advised by Paul Halmos and Marshall Stone. He joined the mathematics department at the University of Michigan (1955) where he taught the first programming course (1956) using an IBM 704. Galler helped to develop the computer language called the Michigan Algorithm Decoder (1959-) in use at several universities. He formed the Communication Sciences dept (1965), renamed Computer Sciences (CS), which became the Computer and Communications (CCS) dept (1984), and Computer Science Department in the 70s, where he retired in 1994. Galler's class developed the realtime course scheduling program called Computer Registration Involving Student Participation (CRISP) which allowed students to register for courses without waiting in long lines.[4] The University used the CRISP application for over fifteen years. From 1968 to 1970, Prof. Galler was the President of the Association for Computing Machinery (ACM). In 1994 he was inducted as a Fellow of the Association for Computing Machinery. He was the founding editor of the journal IEEE Annals of the History of Computing (1979–87). He was also the President of the Software Patent Institute (1992). 
For fifteen years, he served as an expert witness in numerous important legal cases around the country involving computer software issues.",0
Garcia-Molina,1,Education information not found,463
Garey,1,Education information not found,0
Garis,0,Education information not found,95
Gates,5,"William Henry Gates III was born on October 28, 1955, in Seattle, Washington[13]as the only son of William H. Gates Sr.[b] (1925–2020) and his first wife, Mary Maxwell Gates (1929–1994).[14] His ancestry includes English, German, and Irish/Scots-Irish.[15] His father was a prominent lawyer, and his mother served on the board of directors of First Interstate BancSystem and United Way of America. Gates's maternal grandfather was J. W. Maxwell, a national bank president. He also has an older sister Kristi (Kristianne) and a younger sister Libby. He is the fourth of his name in his family but is known as William Gates III or ""Trey"" (i.e., three) because his father had the ""II"" suffix.[16][17] The family lived in the Sand Point area of Seattle in a home that was damaged by a rare tornado when Gates was seven years old.[18] According to Gates, when he was young, his parents wanted him to pursue a career in law.[19] During his childhood, his family regularly attended a church of the Congregational Christian Churches, a Protestant Reformed denomination.[20][21][22] Gates was small for his age and was bullied as a child.[17] The family encouraged competition; one visitor reported that ""it didn't matter whether it was hearts or pickleball or swimming to the dock; there was always a reward for winning and there was always a penalty for losing"".[23] At age 13, he enrolled in the private Lakeside prep school,[24][25] where he wrote his first software program.[26] When he was in eighth grade, the Mothers' Club at the school used proceeds from Lakeside School's rummage sale to buy a Teletype Model 33 ASR terminal and a block of computer time on a General Electric (GE) computer for the students.[27] Gates took an interest in programming the GE system in BASIC, and he was excused from math classes to pursue his interest. He wrote his first computer program on this machine, an implementation of tic-tac-toe that allowed users to play games against the computer. Gates was fascinated by the machine and how it would always execute software code perfectly.[28] After the Mothers Club donation was exhausted, Gates and other students sought time on systems including DEC PDP minicomputers. One of these systems was a PDP-10 belonging to Computer Center Corporation (CCC) which banned Gates, Paul Allen, Ric Weiland, and Gates's best friend and first business partner Kent Evans for the summer after it caught them exploiting bugs in the operating system to obtain free computer time.[29][17] The four students formed the Lakeside Programmers Club to make money.[17] At the end of the ban, they offered to find bugs in CCC's software in exchange for extra computer time. Rather than using the system remotely via Teletype, Gates went to CCC's offices and studied source code for various programs that ran on the system, including Fortran, Lisp, and machine language. The arrangement with CCC continued until 1970 when the company went out of business. The following year, a Lakeside teacher enlisted Gates and Evans to automate the school's class-scheduling system, providing them computer time and royalties in return. The duo worked diligently in order to have the program ready for their senior year. Towards the end of their junior year, Evans was killed in a mountain climbing accident, which Gates has described as one of the saddest days of his life. Gates then turned to Allen who helped him finish the system for Lakeside.[17] At 17, Gates formed a venture with Allen called Traf-O-Data to make traffic counters based on the Intel 8008 processor.[30] In 1972, he served as a congressional page in the House of Representatives.[31][32] He was a National Merit Scholar when he graduated from Lakeside School in 1973.[33] He scored 1590 out of 1600 on the Scholastic Aptitude Tests (SAT) and enrolled at Harvard College in the autumn of 1973.[34][35] He didn't stay at Harvard long enough to choose a concentration, but took mathematics (including Math 55) and graduate level computer science courses.[36] While at Harvard, he met fellow student and future Microsoft CEO Steve Ballmer. Gates left Harvard after two years while Ballmer stayed and graduated magna cum laude. Years later, Ballmer succeeded Gates as Microsoft's CEO and maintained that position from 2000 until his resignation in 2014.[37][38] Gates devised an algorithm for pancake sorting as a solution to one of a series of unsolved problems[39] presented in a combinatorics class by professor Harry Lewis. His solution held the record as the fastest version for over 30 years, and its successor is faster by only 2%.[39][40] His solution was formalized and published in collaboration with Harvard computer scientist Christos Papadimitriou.[41] Gates remained in contact with Paul Allen and joined him at Honeywell during the summer of 1974.[42] In 1975, the MITS Altair 8800 was released based on the Intel 8080 CPU, and Gates and Allen saw the opportunity to start their own computer software company.[43] Gates dropped out of Harvard that same year. His parents were supportive of him after seeing how much he wanted to start his own company.[44] He explained his decision to leave Harvard: ""if things hadn't worked out, I could always go back to school. I was officially on leave.""[45]",3
Gelernter,3,"Gelernter grew up on Long Island, New York.[2] His father Herbert Gelernter was a physicist who, in the late 1950s and 1960s, became a pioneer in artificial intelligence and taught computer science at State University of New York at Stony Brook.[3][4] Gelernter's grandfather was a rabbi, and Gelernter grew up as a Reform Jew; he later became a follower of Orthodox Judaism.[5] He received his Bachelor of Arts and Master of Arts degrees in Classical Hebrew literature from Yale University in 1976.[6] He earned his Ph.D. from State University of New York at Stony Brook in 1982.[2]",66
Gelobter,4,Education information not found,0
Geschke,4,"Charles Matthew Geschke[4] was born in Cleveland, Ohio, on September 11, 1939.[5]  He attended Saint Ignatius High School.[6] Geschke earned an AB in classics in 1962 and an MS in mathematics in 1963, both from Xavier University.[5]  He taught mathematics at John Carroll University from 1963 to 1968.[7]  In 1972, he completed his PhD studies in computer science at Carnegie Mellon University under the advice of William Wulf.[4]  He was a co-author of Wulf's 1975 book The Design of an Optimizing Compiler.[8]",0
Ghahramani,2,"Ghahramani was educated at the American School of Madrid in Spain and the University of Pennsylvania where he was awarded a double major degree in Cognitive Science and Computer Science in 1990.[5] He obtained his Ph.D. from the Department of Brain and Cognitive Sciences at the Massachusetts Institute of Technology, supervised by Michael I. Jordan and Tomaso Poggio.[4][10]",322
Ghemawat,1,"Ghemawat studied at Cornell University and the Massachusetts Institute of Technology (MIT).[3] He obtained a PhD from MIT in 1995, with a dissertation titled, The Modified Object Buffer: A Storage Management Technique for Object-Oriented Databases. His advisors were Barbara Liskov and Frans Kaashoek.[6] Before joining Google, Ghemawat worked at the DEC Systems Research Center. There he began his long-time collaboration with Jeff Dean, who worked at another DEC research lab nearby. Their work at DEC included a Java compiler and a system profiling tool.[5]",28
Gibbons,0,Education information not found,144
Gilbert,19,"Ph.D., University of Cincinnati, Cincinnati, Ohio, 2000 (Computer Science); dissertation: ""Arthur: An Intelligent Tutoring System with Adaptive Instruction""[11]",130
Giles,2,Education information not found,573
Ginsburg,0,Education information not found,117
Glass,0,Education information not found,297
Gödel,2,"Gödel was born April 28, 1906, in Brünn, Austria-Hungary (now Brno, Czech Republic), into the German-speaking family of Rudolf Gödel (1874–1929), the managing director and part owner of a major textile firm, and Marianne Gödel (née Handschuh, 1879–1966).[6] At the time of his birth the city had a German-speaking majority which included his parents.[7] His father was Catholic and his mother was Protestant and the children were raised as Protestants. The ancestors of Kurt Gödel were often active in Brünn's cultural life. For example, his grandfather Joseph Gödel was a famous singer in his time and for some years a member of the Brünner Männergesangverein (Men's Choral Union of Brünn).[8] Gödel automatically became a citizen of Czechoslovakia at age 12 when the Austro-Hungarian Empire collapsed following its defeat in the First World War. According to his classmate Klepetař, like many residents of the predominantly German Sudetenländer, ""Gödel considered himself always Austrian and an exile in Czechoslovakia"".[9] In February 1929, he was granted release from his Czechoslovak citizenship and then, in April, granted Austrian citizenship.[10] When Germany annexed Austria in 1938, Gödel automatically became a German citizen at age 32. In 1948, after World War II, at the age of 42, he became an American citizen.[11] In his family, the young Gödel was nicknamed Herr Warum (""Mr. Why"") because of his insatiable curiosity. According to his brother Rudolf, at the age of six or seven, Kurt suffered from rheumatic fever; he completely recovered, but for the rest of his life he remained convinced that his heart had suffered permanent damage. Beginning at age four, Gödel suffered from ""frequent episodes of poor health"", which would continue for his entire life.[12] Gödel attended the Evangelische Volksschule, a Lutheran school in Brünn from 1912 to 1916, and was enrolled in the Deutsches Staats-Realgymnasium from 1916 to 1924, excelling with honors in all his subjects, particularly in mathematics, languages and religion. Although Gödel had first excelled in languages, he later became more interested in history and mathematics. His interest in mathematics increased when in 1920 his older brother Rudolf (born 1902) left for Vienna, where he attended medical school at the University of Vienna. During his teens, Gödel studied Gabelsberger shorthand,[13] and criticisms of Isaac Newton, and the writings of Immanuel Kant.[14] At the age of 18, Gödel joined his brother at the University of Vienna. He had already mastered university-level mathematics.[15] Although initially intending to study theoretical physics, he also attended courses on mathematics and philosophy.[16] During this time, he adopted ideas of mathematical realism. He read Kant's Metaphysische Anfangsgründe der Naturwissenschaft, and participated in the Vienna Circle with Moritz Schlick, Hans Hahn, and Rudolf Carnap. Gödel then studied number theory, but when he took part in a seminar run by Moritz Schlick which studied Bertrand Russell's book Introduction to Mathematical Philosophy, he became interested in mathematical logic. According to Gödel, mathematical logic was ""a science prior to all others, which contains the ideas and principles underlying all sciences.""[17] Attending a lecture by David Hilbert in Bologna on completeness and consistency in mathematical systems may have set Gödel's life course. In 1928, Hilbert and Wilhelm Ackermann published Grundzüge der theoretischen Logik (Principles of Mathematical Logic), an introduction to first-order logic in which the problem of completeness was posed: ""Are the axioms of a formal system sufficient to derive every statement that is true in all models of the system?""[18] This problem became the topic that Gödel chose for his doctoral work.[18] In 1929, aged 23, he completed his doctoral dissertation under Hans Hahn's supervision. In it, he established his eponymous completeness theorem regarding first-order logic.[18] He was awarded his doctorate in 1930,[18] and his thesis (accompanied by additional work) was published by the Vienna Academy of Science.",0
Goel,0,Education information not found,0
Goguen,0,"Goguen received his bachelor's degree in mathematics from Harvard University in 1963, and his PhD in mathematics from the University of California, Berkeley in 1968, where he was a student of the founder of fuzzy set theory, Lotfi Zadeh.[2] He taught at UC Berkeley, the University of Chicago and University of California, Los Angeles, where he was a full professor of computer science.[2][12][13] He held a Research Fellowship in the Mathematical Sciences at the IBM Watson Research Center, where he organised the ""ADJ"" group.[12]  He also visited the University of Edinburgh in Scotland on three Senior Visiting Fellowships.[5] From 1979 to 1988, Goguen worked at SRI International in Menlo Park, California.  From 1988 to 1996, he was a professor at the Oxford University Computing Laboratory (now the Department of Computer Science, University of Oxford) in England and a Fellow at St Anne's College, Oxford.[2] In 1996 he became professor of Computer Science at the University of California, San Diego.[2]",0
Gold,1,"In 1956, he got a B.S. in mathematics from the California Institute of Technology,
in 1958, he got a M.S. in physics from Princeton University.[9]: vi 
In Jan 1965, got his Ph.D. from UCLA, supervised by Abraham Robinson.[13][9]: i [14][3]: 403",0
Goldberg,0,Education information not found,36
Goldberg,1,"Goldberg did his undergraduate studies at the Massachusetts Institute of Technology, graduating in 1982. After earning a master's degree at the University of California, Berkeley, he returned to MIT with funding from a prestigious Hertz Fellowship, finishing his doctorate there in 1987 with a thesis on the Efficient graph algorithms for sequential and parallel computers[3] supervised by Charles E. Leiserson.[G87][1]",150
Goldberg,1,"He attended high school at the University of Toronto Schools, graduating in 1991. In 1995, he received a B.Math from the University of Waterloo in pure mathematics and computer science. He obtained a Ph.D. from the University of California, Berkeley in December 2000. His thesis was entitled A Pseudonymous Communications Infrastructure for the Internet.[5] His advisor was Eric Brewer.",146
Goldsmith,3,"Judith Ann Becker was born in November 26, 1938, in Manitowoc, Wisconsin.[3][4] Her father did not provide for the family and leaving her mother and five siblings to take care of themselves.[4] After her parents divorced, her mother worked in a factory for twenty-five years to support the family, while only having an 8th grade education.[4] The Beckers grew up very poor and for a time lived in a re-converted chicken coop with no running water and an old wooden stove.[5] After completing high school in 1957, Becker received a scholarship that provided the funds to attend the University of Wisconsin–Stevens Point.[5] Becker was originally a music major singing and playing the piano, however she was passionate about literature and language so she graduated with a bachelor's degree in English.[5] As a student at the University of Wisconsin-Stevens Point, Judy Becker met and married Dick Goldsmith and later had a daughter named Rachel.[4] Judy Goldsmith also received a master's degree from the State University of New York at Buffalo.[4]",165
Goldreich,1,Education information not found,528
Goldwasser,6,"Born in New York City, Goldwasser obtained her Bachelor of Science degree in 1979 in mathematics and science from Carnegie Mellon. She continued her studies in computer science at Berkeley, receiving a Master of Science degree in 1981 and a PhD in 1984.  While at Berkeley, she and her doctoral advisor, Manuel Blum, would propose the Blum-Goldwasser cryptosystem.[3]",234
Golub,0,Education information not found,0
Golumbic,0,"Golumbic majored in mathematics at Pennsylvania State University, graduating in 1970 with bachelor's and master's degrees.[3] He completed his Ph.D. at Columbia University in 1975, with the dissertation Comparability Graphs and a New Matroid supervised by Samuel Eilenberg.[4] He became an assistant professor in the Courant Institute of Mathematical Sciences of New York University from 1975 until 1980, when he moved to Bell Laboratories. From 1983 to 1992 he worked for IBM Research in Israel, and from 1992 to 2000 he was a professor of mathematics and computer science at Bar-Ilan University. He moved to the University of Haifa in 2000, where he founded the Caesarea Edmond Benjamin de Rothschild Institute for Interdisciplinary Applications of Computer Science.[3][2] In 1989, Golumbic founded the Bar-Ilan Symposium in Foundations of Artificial Intelligence, a leading artificial intelligence conference in Israel.[5] In 1990 Golumbic became the founding editor-in-chief of the journal Annals of Mathematics and Artificial Intelligence, published by Springer.[6]",109
Gonnet,1,Gonnet received his doctorate in computer science from the University of Waterloo in 1977.  His thesis was entitled Interpolation and Interpolation-Hash Searching.  His advisor was J. Alan George.[7],0
Goodfellow,0,"Goodfellow obtained his B.S. and M.S. in computer science from Stanford University under the supervision of Andrew Ng (co-founder and head of Google Brain), and his Ph.D. in machine learning from the Université de Montréal in April 2014, under the supervision of Yoshua Bengio and Aaron Courville.[6][7] Goodfellow's thesis is titled Deep learning of representations and its application to computer vision.[8][9]",2
Gosling,0,Education information not found,15
Graham,0,Education information not found,48
Graham,0,Education information not found,0
Graham,2,"Born in Cleveland, Graham received her A.B. in mathematics from Harvard in 1964.[4]
She did her graduate work in computer science at Stanford, receiving her M.S. in 1966 and her Ph.D. in 1971 under the supervision of David Gries.[5]
In 1971 she joined the faculty of the University of California, Berkeley, rising from assistant professor (1971–1976), through associate professor (1976–1981) to full professor from 1981 onwards. Graham's research projects include: Harmonia – A language-based framework for interactive software development.[6], Titanium - A Java-based parallel programming language, compiler, and runtime system.[7] Graham was the founding editor of the ACM Transactions on Programming Languages and Systems.[2] Graham has published dozens of research articles and has lectured and published extensively on subjects in computer languages, compilers and programming environments. She is a member of the United States President's Council of Advisors on Science and Technology. Among other activities, she chaired the Panel on Open Source Software for High End Computing.[8] Graham has long been involved with Harvard, culminating with her joining the Harvard Corporation
in 2011.[9]",75
Gray,0,Education information not found,1
Greibach,0,Education information not found,0
Gries,10,Education information not found,125
Griesemer,0,Education information not found,8
Griswold,0,Education information not found,0
Gropp,1,Education information not found,310
Gruber,0,Education information not found,25
Guberman,0,Education information not found,0
Guha,0,"Guha did his schooling from Loyola High School, Pune and graduated with Bachelor of Technology in Mechanical Engineering from the Indian Institute of Technology Madras, Master of Science from University of California, Berkeley and Ph.D from Stanford University.[1][7]",39
Gunther,9,Education information not found,58
Gutknecht,0,Education information not found,46
Guy,0,Education information not found,0
Habermann,0,Education information not found,30
Hahn,0,Education information not found,0
Hall,1,Education information not found,1
Hall,1,"Wendy Hall was born in west London and educated at Ealing Grammar School for Girls. She studied for undergraduate and postgraduate degrees in mathematics at the University of Southampton. She completed her Bachelor of Science (BSc) degree in 1974, and her Doctor of Philosophy (PhD) degree in 1977.[5] Her doctoral thesis was titled Automorphisms and coverings of Klein surfaces.[9] She later completed a Master of Science degree in Computing at City University London.[5][2]",272
Halpern,0,Education information not found,0
Hamilton,0,Education information not found,117
Hamming,7,Education information not found,0
Han,0,Education information not found,5
Harary,0,Education information not found,117
Harris,0,Education information not found,3
Hartmanis,13,Education information not found,135
Håstad,2,Education information not found,183
Hatton,3,Education information not found,49
Hawryszkiewycz,0,Education information not found,2
Jifeng,0,Education information not found,0
Hehner,0,Education information not found,0
Hellman,3,Education information not found,3
Heiser,14,Education information not found,131
Hendler,0,"Hendler completed his Doctor of Philosophy degree at Brown University in 1986 with a thesis on automated planning and scheduling.[3]  He also has an MS (1981) in Cognitive Psychology from Southern Methodist University, a MSc (1983) from Brown University, and a BS (1978) from Yale University.",0
Hennessy,6,"Hennessy was raised in Huntington, New York, as one of six children.[10] His father was an aerospace engineer, and his mother was a teacher before raising her children.[10] He is of Irish-Catholic descent, with some of his ancestors arriving in America during the potato famine in the 19th century. [18] He earned his bachelor's degree in electrical engineering from Villanova University, and his master's degree and Doctor of Philosophy in computer science from Stony Brook University.[6][19][20]",113
Herbert,0,Education information not found,0
Hewitt,3,"Hewitt obtained his PhD in mathematics at MIT in 1971, under the supervision of Seymour Papert, Marvin Minsky, and Mike Paterson. He began his employment at MIT that year,[8] and retired from the faculty of the MIT Department of Electrical Engineering and Computer Science during the 1999–2000 school year.[9] He became emeritus in the  department in 2000.[10] Among the doctoral students that Hewitt supervised during his time at MIT are Gul Agha, Henry Baker, William Clinger, Irene Greif,  and Akinori Yonezawa.[11] From September 1989 to August 1990, Hewitt was the IBM Chair Visiting Professor in the Department of Computer Science at Keio University in Japan.[12] He has also been a Visiting Professor at Stanford University.",63
Hightower,0,"Hightower grew up in Long Beach, California, then moved to Atlanta, Georgia with his mother as he was beginning high school. After high school he enrolled at Clayton State University, but found the technology courses to be lacking and didn't continue. He then began courses to earn his CompTIA A+ information technology (IT) certification.[3]",4
Hillis,1,Education information not found,1
Hinton,6,"Hinton was educated at Clifton College in Bristol[33] and King's College, Cambridge. After repeatedly changing his degree between different subjects like natural sciences, history of art, and philosophy, he eventually graduated in 1970 with a Bachelor of Arts in experimental psychology.[11] He continued his study at the University of Edinburgh where he was awarded a PhD in artificial intelligence in 1978 for research supervised by Christopher Longuet-Higgins.[2][34]",0
Hirschberg,0,Education information not found,231
Ho,1,Ho completed her undergraduate education at the Chinese University of Hong Kong in 1984.  She received a Ph.D. in computer science from State University of New York at Buffalo in 1992.[1],95
Hoare,21,"Tony Hoare was born in Colombo, Ceylon (now Sri Lanka) to British parents; his father was a colonial civil servant and his mother was the daughter of a tea planter. Hoare was educated in England at the Dragon School in Oxford and the King's School in Canterbury.[13] He then studied Classics and Philosophy (""Greats"") at Merton College, Oxford.[14] On graduating in 1956 he did 18 months National Service in the Royal Navy,[14] where he learned Russian.[15] He returned to the University of Oxford in 1958 to study for a postgraduate certificate in statistics,[14] and it was here that he began computer programming, having been taught Autocode on the Ferranti Mercury by Leslie Fox.[16] He then went to Moscow State University as a British Council exchange student,[14] where he studied machine translation under Andrey Kolmogorov.[15]",195
Hodes,0,Education information not found,16
Holberton,2,"Holberton was born Frances Elizabeth Snyder in Philadelphia, Pennsylvania in 1917. Her father was John Amos Snyder (1884–1963), her mother was Frances J. Morrow (1892–1981), and she was the third child in a family of eight children. Holberton studied journalism, because its curriculum let her travel far afield.[2] Journalism was also one of the few fields open to women as a career in the 1940s.[3] On her first day of classes at the University of Pennsylvania, her math professor asked her if she wouldn't be better off at home raising children.[3]",1
Holland,0,Education information not found,0
Hollerith,0,Education information not found,0
Holzmann,2,Education information not found,0
Hopcroft,7,"He received his bachelor's degree from Seattle University in 1961.[6] He received his master's degree and Ph.D. from Stanford University in 1962 and 1964, respectively. He worked for three years at Princeton University and since then has been at Cornell University. Hopcroft is the grandson of Jacob Nist, founder of the Seattle-Tacoma Box Company.[7]",0
Hopper,2,"Grace Brewster Murray was born in New York City. She was the eldest of three children. Her parents, Walter Fletcher Murray and Mary Campbell Van Horne, were of Scottish and Dutch descent, and attended West End Collegiate Church.[8] Her great-grandfather, Alexander Wilson Russell, an admiral in the US Navy, fought in the Battle of Mobile Bay during the Civil War.[8]: 2–3 Grace was very curious as a child; this was a lifelong trait. At the age of seven, she decided to determine how an alarm clock worked and dismantled seven alarm clocks before her mother realized what she was doing (she was then limited to one clock).[9] Later in life, she was known for keeping a clock that ran backward, she explained, ""Humans are allergic to change. They love to say, 'We've always done it this way.' I try to fight that. That's why I have a clock on my wall that runs counterclockwise.""[10] For her preparatory school education, she attended the Hartridge School in Plainfield, New Jersey. Grace was initially rejected for early admission to Vassar College at age 16 (because her test scores in Latin were too low), but she was admitted the following year. She graduated Phi Beta Kappa from Vassar in 1928 with a bachelor's degree in mathematics and physics and earned her master's degree at Yale University in 1930. In 1930, Grace Murray married New York University professor Vincent Foster Hopper (1906–1976); they divorced in 1945.[11][12] She did not marry again and retained his surname. In 1934, Hopper earned a Ph.D. in mathematics from Yale[13] under the direction of Øystein Ore.[11][14] Her dissertation, ""New Types of Irreducibility Criteria"",[15] was published that same year.[16] She began teaching mathematics at Vassar in 1931, and was promoted to associate professor in 1941.[17]",0
Horvitz,7,Education information not found,423
Householder,3,Education information not found,0
Hudak,2,Education information not found,99
Huffman,5,"Huffman earned his bachelor's degree in electrical engineering from Ohio State University in 1944. Then, he served two years as an officer in the United States Navy. He returned to Ohio State to earn his master's degree in electrical engineering in 1949. In 1953, he earned his Doctor of Science in electrical engineering at the Massachusetts Institute of Technology (MIT), with the thesis The Synthesis of Sequential Switching Circuits, advised by Samuel H. Caldwell.[1][2][4]",8
Hughes,0,Education information not found,26
